ak,190.47826086956522,0
al,1139.7826086956522,101.65217391304348
ar,888.6086956521739,57.56521739130435
as,0,0
az,755.4347826086956,-50.08695652173913
ca,3314.782608695652,0
co,878.1304347826087,40
ct,369.6521739130435,30.304347826086957
dc,55.78260869565217,0
de,133.65217391304347,0
fl,2837.5652173913045,169.65217391304347
ga,1292.7391304347825,105.52173913043478
gu,71.8695652173913,0
hi,89.56521739130434,9.26086956521739
ia,925.1304347826087,0
id,659.3913043478261,22.434782608695652
il,3173.1739130434785,0
in,1638.8695652173913,116.69565217391305
ks,716.5652173913044,29
ky,1082.9565217391305,66.82608695652173
la,658.4782608695652,0
ma,703,18.26086956521739
md,607.2173913043479,48.69565217391305
me,30.608695652173914,1.0434782608695652
mi,1482.9565217391305,0
mn,1336.0434782608695,71.17391304347827
mo,1670.4782608695652,0
mp,0.782608695652174,0
ms,682,23.304347826086957
mt,584,19.695652173913043
nc,1959.8260869565217,0
nd,612.7391304347826,23
ne,706.1304347826087,20.347826086956523
nh,75.1304347826087,1.173913043478261
nj,876.304347826087,599.2608695652174
nm,444.3478260869565,28.391304347826086
nv,595.0434782608696,0
ny,1440.0869565217392,0
oh,1693.9565217391305,102.17391304347827
ok,1159,78.95652173913044
or,340.82608695652175,18.956521739130434
pa,1374.4347826086957,0
pr,531.695652173913,0
ri,233.47826086956522,14.956521739130435
sc,895.9565217391304,43.52173913043478
sd,644.0434782608696,34.21739130434783
tn,1972.7826086956522,49.95652173913044
tx,4461.086956521739,0
ut,1237.695652173913,47.47826086956522
va,1000.5652173913044,81.6086956521739
vi,1.2173913043478262,0
vt,11.478260869565217,0
wa,586.2173913043479,30.434782608695652
wi,3101.8695652173915,119.04347826086956
wv,241.04347826086956,0
wy,199.8695652173913,5.217391304347826
