ak,81.77115674545455
al,83.18102831818182
ar,84.92247839545455
az,86.65771657272727
ca,91.36036256818181
co,87.10801993636363
ct,93.81592819090909
dc,97.28788962272728
de,92.88254753636363
fl,84.99746380909092
ga,82.18861078181818
hi,93.05759708636364
ia,78.52889826818182
id,73.92859338636363
il,88.83720079545455
in,84.64192169090909
ks,81.91740873636364
ky,87.35385532727273
la,81.5493896590909
ma,94.20636297727273
md,93.46327539090909
me,87.6739041
mi,87.6545139909091
mn,88.92717220454546
mo,80.1670939590909
ms,80.53888745454546
mt,81.06543631363637
nc,86.68216917272727
nd,71.10828874090909
ne,79.97938385
nh,88.46660036818182
nj,91.95555404090909
nm,89.68506219545455
nv,88.69630607727272
ny,93.29899174545454
oh,85.77058239090908
ok,78.3423890909091
or,89.6702091409091
pa,87.34901865909092
ri,93.20055289545455
sc,83.74877046363636
sd,69.27484173636364
tn,80.70025151363636
tx,86.91937384090909
ut,83.59756513636364
va,89.84473270454545
vt,92.68501181818182
wa,91.03955475
wi,86.8092017
wv,85.56395079545455
wy,61.82157077272727
