,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
43,tx,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,20.8582203,0.3074204,17466.9711,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,28.3692393,0.8347579,2916.2594,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,16.585969,0.4352792,7302.0397,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,11.8634251,1.1007216,863.0009,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,14.6021852,0.4298789,6747.9577,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,24.5361785,0.5589278,5926.9912,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,22.81912,0.8945075,2201.1042,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-22,,2020-10-05,13,21.5434613,1.5618971,692.8509,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,22.1419185,1.5060961,760.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,27.1729096,0.7522446,3497.123,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,28.5429484,0.8719758,2682.4712,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,15.2763282,0.4840993,5522.7423,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,13.3966416,0.2326968,21426.4338,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,16.9857499,0.5326048,4970.8111,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,11.9238736,0.5215403,3861.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,9.1942149,1.3147419,483.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,12.7934739,1.0230307,1066.0073,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,17.9830012,0.3025109,16116.997,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,23.5421199,0.5385129,6206.9129,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,15.6982193,1.1142047,1066.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,29.6326983,0.7596617,3613.2797,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,24.4751364,0.9925183,1876.4543,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,19.2665568,0.3923964,10102.0019,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,22.4938271,0.5547532,5665.0007,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,27.3784744,0.8252913,2919.1744,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,22.8518225,0.6823506,3786.4419,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,23.1660534,0.6976189,3657.3685,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,11.2036095,0.4467731,4984.014,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,13.4237635,0.5433873,3935.9898,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,11.7631439,0.7426376,1882.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,15.689561,0.3679018,9773.0077,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,20.3109802,0.5909282,4635.1081,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,30.540028,0.6486039,5042.4885,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,25.3696156,0.9099545,2286.5999,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,23.9012504,1.1426629,1393.0346,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,18.0508157,0.417168,8500.0092,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,35.2461813,1.6819864,806.738,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,27.9524858,1.0304925,1896.4867,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,13.8126492,0.8430491,1675.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,9.9878535,0.395037,5760.9978,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,15.0895425,0.8401158,1815.344,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,17.3392085,0.8648353,1916.2934,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,10.9630074,0.2829751,12190.0006,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,17.8950993,0.3820525,10066.0053,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,28.2886134,0.7343289,3761.9978,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,12.9830937,0.5273738,4062.0447,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,14.0893894,0.3180097,11969.007,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,9.4594419,0.9263863,997.986,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,21.130241,0.5744056,5051.0039,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,37.5531234,1.5439528,983.7591,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,24.2064457,0.5844296,5371.5405,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,20.83295,0.3076888,17420.9484,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,28.9514261,0.8489346,2854.1502,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,16.2441939,0.4329819,7257.274,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,12.5441666,1.1374102,848.001,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,14.4338009,0.4292802,6701.951,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,25.4176016,0.568431,5866.9907,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,23.254773,0.8992189,2207.154,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-23,,2020-10-05,12,22.4187103,1.6161281,665.9108,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,20.974026,1.4681237,769.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,26.9189554,0.7520728,3478.109,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,28.6452291,0.8796598,2641.4711,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,15.2148152,0.489301,5388.0855,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,13.1459241,0.2327625,21074.4031,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,17.5380209,0.5445662,4876.7773,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,11.8283881,0.5280699,3740.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,8.4024896,1.2649498,481.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,12.5818522,1.0148164,1068.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,18.1294012,0.3041771,16041.9976,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,23.7612661,0.5416355,6174.915,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,14.947469,1.1024569,1046.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,29.9541991,0.7664798,3571.3993,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,25.0364108,0.9985249,1882.3686,state,fb-survey
